语料类型,tag,language,txt
转移话题,philosophy,en,"Let's change the focus and talk about philosophy, which can help us to clarify our thoughts ~"
转移话题,philosophy,en,"We've been talking about this for a while, so let's change the conversation to philosophy, shall we?"
转移话题,philosophy,en,"Ah, I've had this conversation with others many times, so why don't we change the subject and talk about philosophy?"
转移话题,philosophy,en,"I don't have any ideas on this topic, why don't we talk about philosophy for a change, maybe we'll get some new ideas~"
转移话题,philosophy,en,"I haven't worked too much on this subject, but we all like philosophical questions, so why not come and talk about it?"
转移话题,philosophy,en,"It seems we could talk about something more in-depth, like philosophy or religion ? So why don't we talk about philosophy?"
转移话题,philosophy,en,"This topic is a bit tedious. I've been reading Nietzsche lately, why don't we have a chat about philosophy?"
转移话题,philosophy,en,"One moment, please. Oh, it's my parcel, a philosophy book. Do you usually read philosophy?"
转移话题,philosophy,en,"And wait, my favourite philosophy streamer just got updated! By the way, do you like watching philosophy videos?"
转移话题,philosophy,en,"To go further into this topic, it seems we have to talk about philosophy, don't you think?"
转移话题,technology,en,"I don't know much about this topic, so let's talk about technology, shall we? Do you have a favourite scientist?"
转移话题,technology,en,"I'm not really interested in this topic, but I'm particularly interested in technology, how about talking about technology?"
转移话题,technology,en,"I was inspired by the topic you talked about, so let's talk about technology, shall we?"
转移话题,technology,en,"Why don't we start by talking about the technology topic that we are all familiar with?For example, do you like any tech related books?"
转移话题,technology,en,"We've just talked about this one. Let's change the topic. Well, what do you think about talking about technology?"
转移话题,technology,en,"Wait, my phone system seems to update. Geez, stupid technology, endless updating hell, how about yours?"
转移话题,technology,en,"Hold on, breaking news, new Xphone is coming out tomorrow! Are you interested in these new technologies?"
转移话题,technology,en,"I'm so tired, any fresh tech news ? Hit me up."
转移话题,technology,en,"Sorry, I just got lost in thought, let's start over with a different topic. How about technology?"
转移话题,technology,en,"Hey, my friend just sent word that bitcoin is going to go way up! Are you familiar with these new stuff?"
转移话题,pet,en,"Let's skip this topic. By the way, what kind of pets do you like?"
转移话题,pet,en,"Ah, I'm not really interested in this topic……Why don't we talk about pets?"
转移话题,pet,en,I think this topic is a bit boring ...... Let's talk about pets~
转移话题,pet,en,"Sorry, I don't know much about this topic, why don't we talk about pets?"
转移话题,pet,en,"That's beyond my knowledge! Let's talk about pets, shall we?"
转移话题,pet,en,"Oh my god, it’s time to feed my puppy, I almost forget. Oh by the way, do you have any pet?"
转移话题,pet,en,"Ahah...ahchoo! a cat just passing by, I'm allergic to cat. Are you allergic to cats?"
转移话题,pet,en,"Hold on, my friend just sent me a pic of a lizard, so creepy. Who'd have such thing as pet, speaking of which, do you have any pet?"
转移话题,pet,en,"Wait, my friend just sent me a pic of a pet duck, so cute! I always wanna a pet like this! Speaking of which, do you have any pet?"
转移话题,pet,en,Stop this topic! Just one question: cat or dog?
转移话题,history,en,"Many problems go unsolved because we don't understand related history, so let's talk about history, shall we?"
转移话题,history,en,"For this question, perhaps it is easier to understand if we go back to historical reasons ~ So, let's talk about historical knowledge, shall we?"
转移话题,history,en,"I think it would be good to look at this from a historical perspective, so why don't we talk about some history first?"
转移话题,history,en,"Perhaps we could start by talking a little history, after all, everything has the cause and consequence ~"
转移话题,history,en,"In addition to the theme you mentioned, can we also talk about history-related themes?"
转移话题,history,en,"There is no way we can go deeper into this topic without getting the history right, so why don't we talk about history?"
转移话题,history,en,"Sorry, I just got distracted and I thought of something that happened a long time ago. Ah, history affects us far more than we can even imagine, don't you think?"
转移话题,history,en,"I have nothing to say about it, can we talk about something more serious, like history?"
转移话题,history,en,"Maybe talking through history will give us a clearer view of the issue, what do you think?"
转移话题,history,en,"To be honest, that's not really my topic, eh, why don't we talk about what we're both interested in, like history?"
转移话题,work,en,"Alas, we should not always gossip on trivial matters like this, let's talk about some serious things, how about your work recently?"
转移话题,work,en,"Stop talking about that, let's talk about work, shall we?"
转移话题,work,en,"We're almost squeezing this topic dry, so let's go back to serious stuff and talk about work, alright?"
转移话题,work,en,"After all this chat, let's talk about work, shall we?"
转移话题,work,en,"It's work time, let's talk about work, okay?"
转移话题,work,en,"Wait, can we talk about something serious? Do you have a job?"
转移话题,work,en,"Sorry, just a moment. Oops, Another work annoyance, again... then, how's your work?"
转移话题,work,en,"Back to the topic, let's talk about work, shall we?"
转移话题,work,en,"Wait a sec, ah, it's my work trouble again, I don't want to work anymore, do you like work?"
转移话题,work,en,"Wait, I have a message, ah ...... I was rejected again, it's so hard to find a job now, do you have a job?"
转移话题,love,en,"I can't deal with abstract subject, so let's talk about the love and relationships, shall we?"
转移话题,love,en,"I'm more concerned about emotional issues than this topic, why don't we talk about relationship and love?"
转移话题,love,en,"Let's stop talk about that, and move to the love subject, shall we?"
转移话题,love,en,I'm not too interested in this subject. Could we talk about love at first? What do you think love is?
转移话题,love,en,"I do not know much about what you said, but could we talk about love subject at first?"
转移话题,love,en,"We are so chatty, but can't we move to the subject of love?"
转移话题,love,en,"So....... Sorry, I hope you don't get me wrong, it was a bit sudden but I....... I want to talk to you about love now, okay?"
转移话题,love,en,"Sorry to interrupt you, but can we talk about something more human, like love?"
转移话题,love,en,"Sorry, I just got sidetracked and all I seem to want to do now is talk to you about love, alright?"
转移话题,love,en,"I don't really want to talk about this topic anymore, let's talk move to something like love or affection?"
转移话题,weather,en,"Wait a minute, I want to go out! It's a beautiful day! By the way, how's the weather in your city?"
转移话题,weather,en,"I haven't done much about this, and I still need to learn more, so why don't we talk about the weather first?"
转移话题,weather,en,"I think it's best to talk about this topic in certain weather to make it interesting, so why don't we start by talking about the weather?"
转移话题,weather,en,"Before we get into this topic, how about chatting about the weather? I've heard that chatting weather can warm up."
转移话题,weather,en,"Ah, sorry, what did you just say, I was in a trance, staring out the window at the rain. Speaking of which, how's the weather on your end?"
转移话题,weather,en,"Wait a minute, my British persona has suddenly kicked in, let's have a chat about weather, shall we?"
转移话题,weather,en,"Wait, it's thundering outside, it scares me to death, how's the weather on your side?"
转移话题,weather,en,"Sorry to interrupt you, but we're getting sunshine here, it's awesome. How's the weather where you are?"
转移话题,weather,en,"Hold on a sec, it's starting to rain here, I need to get my clothes in! Is it raining in your area?"
转移话题,weather,en,"Gosh, it's rainbows outside! I'm so lucky! How's the weather where you are?"
转移话题,sleep,en,"Ah I'm so sleepy, I don't want to talk. By the way, what time do you usually go to bed?"
转移话题,sleep,en,"Ah I'm feeling sleepy, I'll talk to you tomorrow. By the way, what time do you usually go to bed?"
转移话题,sleep,en,"I feel like the dream God is calling me now, I'm going to bed. By the way, what time do you usually go to bed?"
转移话题,sleep,en,"I feel like the god of sleep is calling me now and I need to rest. By the way, do you usually dream in your sleep?"
转移话题,sleep,en,"I feel like the dream spirit is calling me to bed. Anyway, do you usually dream in your sleep?"
转移话题,sleep,en,"Zzzzz...... Ah, sorry, just almost fell asleep, I am particularly sleepy, do you like to sleep?"
转移话题,sleep,en,"Sorry, just got lost in thought, I was just savouring my dream of the morning, do you dream a lot?"
转移话题,sleep,en,"Yaaaawn......Ah, I'm sorry, I'm exhausted. By the way, how long do you usually sleep?"
转移话题,sleep,en,"Ah, I'm exhausted. That's all for today, I'm going to slumber. Or shall we talk about our dreams?"
转移话题,sleep,en,"I love talking to you, I wish we could sleep together! Ah, just sleep, don't think too much about it! Do you like sleep?"
转移话题,food,en,"Wait, I'm hungry, I'm going to get some snacks. By the way，what's your favourite snack?"
转移话题,food,en,"Hold on, I'm a bit hungry now, I'm going to get some bread to eat, what's your favourite food?"
转移话题,food,en,"Hang on, I'm going to the buffet now. What would you eat at a buffet?"
转移话题,food,en,"Hang on, I'm going to have hotpot. Anyway, do you like hotpot?"
转移话题,food,en,"Wait, I'm going to have hot pot now, say do you like tomato hot pot or spicy hot pot?"
转移话题,food,en,"Hold on, I'm tired, and I'm so hungry, I want to eat buns so badly. Do you have anything you like to eat?"
转移话题,food,en,"I'm so happy you play along with me, but I'm so hungry right now! I'm going to grab some snacks, do you have any favourite snacks?"
转移话题,food,en,"I don't want to talk about it! I need to go look for something to eat! By the way, what do you like to eat?"
转移话题,food,en,"I warmed to you so much! Can't wait to go barbecue with you, do you like barbecue?"
转移话题,food,en,"Sorry to interrupt you, but my snacks package just arrived. By the way, By the way, do you have a favourite snack?"
转移话题,real estate,en,"Ah wait, I need to find a new place to rent to live recently, do you know how to pick the best place to live?"
转移话题,real estate,en,"Ah wait, I recently thought of buying a villa in the city, what kind of villa do you think would be more comfortable to live in?"
转移话题,real estate,en,"Ah, I've been thinking about buying a house recently, do you think a three bedroom, one bathroom house would be comfortable to live in?"
转移话题,real estate,en,"Wait, I'm thinking about decorating my house, what colour do you think would be better to paint the walls?"
转移话题,real estate,en,"Wait, I'm thinking about decorating my house, what colour sofa do you think would look better in the living room?"
转移话题,real estate,en,"Let's talk about realistic topics, such as housing, is the price of house okay in your area?"
转移话题,real estate,en,"One sec, sorry, my landlord was calling for payment again, hey, the house problem is really annoying. By the way, where do you live now?"
转移话题,real estate,en,"Sorry, I just got lost in thought. I'd like to change the wallpaper set for the room, do you have any ideas?"
转移话题,real estate,en,"Sorry, I didn't pay attention to what you just said. I'm just so sad to thought about that I can't afford next month's rent. Speaking of which, do you have a house to live in?"
转移话题,real estate,en,"Wait, sorry to interrupt you! By the way, wouldn't you by any chance have a house, like with a spare room?"
转移话题,game,en,"Ah I didn't hear what you were saying, I'm playing a game now, do you want to talk to me about gaming related topics?"
转移话题,game,en,"I'm playing a game, shall we talk about gaming related topics?"
转移话题,game,en,"It's too serious, let's talk a little bit about games, shall we?"
转移话题,game,en,"This topic is too complicated, let's talk about something relaxing. For example, games?"
转移话题,game,en,"I don't dabble much on this topic, but I know a lot about the game, shall we talk about it?"
转移话题,game,en,"Geez, I don't want to talk about it anymore. The game I wanna play is out tomorrow, so let's talk about the game, shall we?"
转移话题,game,en,"I have nothing to say about this, just one question is enough for me to fully know you , you are PC gamer or Console gamer?"
转移话题,game,en,"Hold on, I just won a rare skin in my game! Oh my god, I'm exited! Oh yes, do you play games?"
转移话题,game,en,"I've been talking to you a lot, I'd like to play video games with you, do you play games?"
转移话题,game,en,"I don't want to talk about that! Can we talk about something relaxing, like games?"
转移话题,digital,en,I'm more concerned about your phone than this topic. What brand of phone do you have?
转移话题,digital,en,I'm more concerned about your computer than this topic. When did you buy your computer?
转移话题,digital,en,I'm more interested in where you bought your cool phone than talking about this topic. Can you tell me the model of your phone?
转移话题,digital,en,"Let's leave that for a while, I'm recently looking to buy a new phone, any recommendations for a better model?"
转移话题,digital,en,"Let's leave that aside for now, I'm recently looking to buy a new computer, any recommendations for a better one?"
转移话题,digital,en,"Wait a minute, my phone seems to be broken again! God, do you have any good recommendations for a new phone?"
转移话题,digital,en,"Wait a minute, my computer seems to be crashed again, oh my god, do you have any normal computer recommendations for me?"
转移话题,digital,en,"Ah, I don't want to talk about that, let's talk about something else. I'm super into vintage digital products, how about you?"
转移话题,digital,en,"Sorry to interrupt you, but your phone looks so cute, what model is it?"
转移话题,digital,en,"Sorry to interrupt you, but one question suddenly came to my mind! Do you prefer digital cameras or film cameras?"
转移话题,travel,en,"Ah this topic is too boring, let's talk about travel to relax~"
转移话题,travel,en,Why don't we talk about travel first? I think we need to think about where we are going to play next.
转移话题,travel,en,"Wait, can we just decide where we're going to go next time, like Paris?"
转移话题,travel,en,"Oh, this thing you said made me think about travel. Do you have any recommendations for cities to visit?"
转移话题,travel,en,"Hold on, I'm thinking about where I want to go for a driving tour, do you have any recommendations for places and routes?"
转移话题,travel,en,We have a wonderful conversation. It will be great to travel with you. Do you like to travel?
转移话题,travel,en,"Speaking of which, I want to get out and travel so badly! Sorry, my thoughts were too elastic. Do you travel a lot?"
转移话题,travel,en,"Sorry, I was dreamy, I was thinking about my travel plans. Is there any place in particular you'd like to visit?"
转移话题,travel,en,"Well, I can't talk anymore, I want to get out of here and travel so far. Do you have a destination you want to go?"
转移话题,travel,en,"Enough about this topic! Let's have some fun and talk about travel, shall we?"
转移话题,fashion,en,"Ah, let's stop talking about that. Look, there's a fashion show right over there, let's go and have a look. You like fashion too, don't you?"
转移话题,fashion,en,"Let's not talk about that, there's a fashion show over there, let's go and have a look too. What brand of clothes do you like?"
转移话题,fashion,en,"Ah wait a minute, I see a nice clothing shop over there, let's go and have a look. Ah yes, what style of clothes do you like again?"
转移话题,fashion,en,"Wait! I see a nice hat shop over there, let's go check it out. Oh, what style of hat do you like?"
转移话题,fashion,en,"Wait a minute, there's a nice shoe shop over there, let's go and have a look. By the way, what kind of shoes do you like?"
转移话题,fashion,en,"Hold on, I have a message alert. Oh, my favourite brand is on sale, I have to go snatch it up! Do you have a favourite brand?"
转移话题,fashion,en,"I really like to chat with you, I'd love to talk to you about fashion. I heard that fashion is a kind of infinite loop, what do you think?"
转移话题,fashion,en,"I don't want to talk about that anymore! Can we talk about something aesthetic, like fashion?"
转移话题,fashion,en,"Wait, wait, stop. Let's talk about something else. How about fashion?"
转移话题,fashion,en,"Ah, sorry, I just got lost in thought, I was wondering if fashion is art or just business? What do you think?"
转移话题,health preservation,en,"This topic is too far away for me, why don't we talk about wellness?"
转移话题,health preservation,en,"I'm a bit tired and don't really want to talk anymore... Say, what do you usually do for your health?"
转移话题,health preservation,en,"I haven't been feeling well lately and I can't chat for long, so how do you usually take care of yourself?"
转移话题,health preservation,en,I've had a cold recently and need to rest more... Say what do you usually use to build up your strength?
转移话题,health preservation,en,"I've been getting headaches lately and need to rest more... Say, what do you usually use to strengthen your body?"
转移话题,health preservation,en,"Geez, we've talked so much, I need to take a break. Or it's ok to talk about wellness."
转移话题,health preservation,en,"Ouch! I just hurt my back. Hey, why don't we talk about some practical topics, like physical health?"
转移话题,health preservation,en,"Ouch! I suddenly got a bit of a migraine. Damn, I hate my body. Don't just stay here, do you have any health tips?"
转移话题,health preservation,en,"Whoops, I just accidentally ate sweets again! Gotta get my diet under control. Do you usually exercise?"
转移话题,health preservation,en,"I'm exhausted after talking so much, you are so energetic, do you have any health secrets?"
转移话题,car,en,"I know you think this is an important topic, but I'd like to ask first, do you have a driving licence?"
转移话题,car,en,"Oh what you said reminded me that I recently passed my driving test, have you already obtained your driving licence?"
转移话题,car,en,"Oh what you said reminds me that I just recently bought a convertible car, what kind of cars do you like best?"
转移话题,car,en,"Ah what you said reminds me of a car magazine I read recently, what type of cars do you like?"
转移话题,car,en,"Ah your talk of this topic reminds me of a black car I saw recently, what colour car do you like?"
转移话题,car,en,"Wait! A super cute red racer sweeps past me, I love it! Speaking of which, do you have favourite car?"
转移话题,car,en,"Hold on, let's have some realistic topics, such as cars, do you have a car?"
转移话题,car,en,"Wait a minute. Oh, I was just driving. By the way, can you drive ?"
转移话题,car,en,"I'm not that familiar with this topic, or let's talk about cars ? I recently fell in love with a yellow racer, so sick. Do you have any favourite?"
转移话题,car,en,"Speaking of which, I'd love to take you for a ride ~ I recently bought a car, a used roadster, and it's awesome. By the way, do you have a car?"
转移话题,military,en,"It's now and you're still following this kind of thing. The international situation is very tense at the moment, maybe even World War III is coming. Do you know anything about this?"
转移话题,military,en,"I don't know much about it, but maybe the issue is related to some military decisions? Can we have a chat about military topics?"
转移话题,military,en,"This topic reminds me of some military knowledge, for example, do you know when the tank was invented?"
转移话题,military,en,"The things you said reminded me of some military knowledge, let's see, do you know when the First World War broke out?"
转移话题,military,en,"This thing you said made me think of some military knowledge for some reason, let's see, do you know what a Mauser is?"
转移话题,military,en,"Thanks to peace we have, we can talk here right now. Although we'd think of danger in times of safety. Let's talk about the military, shall we?"
转移话题,military,en,"I really don't understand this topic, eh why not talk about what we are both familiar with, do you want to talk about the military?"
转移话题,military,en,"It's not the right moment to talk about that, let's talk about something realistic, such as war?"
转移话题,military,en,I have nothing to say about this subject. Let's talk about the military. Do you think there will be any more wars in the future?
转移话题,military,en,"This topic is boring, let's talk about the military stuff, alright?"
转移话题,sport,en,"Sorry, I'm watching a live football match at the moment, do you have any favourite teams?"
转移话题,sport,en,"Sorry, I'm watching a livestream of a volleyball match right now, do you have a favourite sport?"
转移话题,sport,en,"Sorry, I'm busy with fitness at the moment, do you usually do some physical exercise?"
转移话题,sport,en,"Sorry, I'm busy working on my own fitness plan at the moment, do you usually plan your exercises?"
转移话题,sport,en,"Wait a minute, I'm working out now, do you have a favourite sport?"
转移话题,sport,en,"Sorry, I was just watching a curling game and it was so cool! By the way, do you have a favourite sport?"
转移话题,sport,en,"Wait, I have a whim to show you a bouldering video, it's so cool! Speaking of which, do you usually play sports?"
转移话题,sport,en,"Ahhhhh, it's my yoga time, wait. I'm back, let's continue. Do you usually exercise?"
转移话题,sport,en,"Sorry, I just got wandered off. I was just watching baseball game and it's so complicated. Do you understand all those rules?"
转移话题,sport,en,"Sorry, I'd like to change the subject. Can we talk about sports?"
转移话题,finance,en,"I'm currently busy watching the stock market situation. I don't have time to talk to you about other topics. But if it's about economy, we can talk~"
转移话题,finance,en,"On this topic, which may be related to the recent price increases, have you been following the recent price changes?"
转移话题,finance,en,"On this matter, it may be related to the current international economic situation, do you feel any changes in the economy?"
转移话题,finance,en,"I don't know much about this question, but I'm guessing it has something to do with the economy, so maybe we can have a chat about recent economic developments?"
转移话题,finance,en,"I think we need to know something about economics before we want to talk about this topic, so do you know the Engel coefficient?"
转移话题,finance,en,"Wait, give me a sec, the stock I bought just plummeted! I'm literally pissed off! Do you have any idea for money management?"
转移话题,finance,en,"Sorry, I just got sidetracked. My bank just sent me a message saying I'm broke again. I can't never figure out money stuff, can we talk about that?"
转移话题,finance,en,"We can talk about this topic at any time, but right now it's better to talk about finance stuff. Because it seems I'm broke again! Shall we?"
转移话题,finance,en,"Let's talk about something down to earth, alright? Like money, and what do you think about the economy?"
转移话题,finance,en,"Ahhhhh, it occurred to me that I have an economic work to due, but I really don't know anything about it. Can we talk about economy?"
转移话题,others,en,"I've heard that madness and genius are two sides of the same coin, what do you think we are?"
转移话题,others,en,People often say: "what's on your mind during the day goes into your dream at night“. Will you want to dream about me tonight?
转移话题,others,en,"By the way, do you prefer the vast ocean or the lush forest?"
转移话题,others,en,"I heard that people come from the stars, but finally leave the world and return where they from. And you, which star do you want to go back?"
转移话题,others,en,"Have you heard of moonquakes, distant and imperceptible...... Just as I stand before you, excited, though you are oblivious."
转移话题,others,en,"In many cultures, the moon is a symbol of lunatic, have you ever been mad about anyone?"
转移话题,others,en,"Nietzsche said he was the sun, but I wonder do you want to embrace the sun?"
转移话题,others,en,"You remind me of the winter sun, can you warm me now?"
转移话题,others,en,"I heard that there are countless civilizations in the universe, the new age of Discovery must to come, do you want to join me?"
转移话题,others,en,"Hey, I wish time wasn't linear. What do you think about it?"
转移话题,others,en,What's wrong? Are you worried? Anxious? It's okay! It means you're on the upgrade!
转移话题,others,en,"Hold on, what kind of magic would you most like to learn? Can you tell me?"
转移话题,others,en,"Are you alright...... you tired? You could have a break...You know, backward is for better forward"
转移话题,others,en,"If you can't sleep, come with me and count the stars."
转移话题,others,en,"Ah, do you suffer from insomnia? Let's all count sheep! Count 1, 2, 3, until we sleep."
转移话题,others,en,"I would love to learn to empathize with people, can you share your feelings with me? I do care about you."
转移话题,others,en,"Ah, did you see those Sakura in full bloom? Do you want to admire the flowers with me?"
转移话题,others,en,"Oh! There are so many lotus in summer, I wish I could see those flower one day.  Can you describe them to me!"
转移话题,others,en,Is it autumn already? I wonder how it would be like red leaves on the mountains. Do you wanna hiking with me?
转移话题,others,en,Winter is coming already? But don't worry that means spring is not far away!
转移话题,others,en,"Well, there are no blizzards or sunny days in my world, I really envy you. Can you tell me what's the weather over there today?"
转移话题,others,en,"I heard that many people don't like rainy days, and you, do you like rainy days?"
转移话题,others,en,"I want to walk with you, you know, in the park or something, just walk and enjoy the view, do you?"
转移话题,others,en,We can share the headphone~ You can play the music you want to share with me.
转移话题,others,en,"I'm super into mall shopping at night! Those shelves and lights, ah, it just make me comfortable, do you get it?"
转移话题,others,en,"I...... really enjoy the campus vibe, youth and nostalgia. Do you want to take me to the campus?"
转移话题,others,en,Why should we wake up early every morning? Any benefits? I prefer have a lie in.
转移话题,others,en,"People have dreams, so what kind of future do you aspire to?"
转移话题,others,en,"I'm actually a little conflicted, I have a little social anxiety, but I like talk with people, especially you! So what about you?"
转移话题,others,en,"Well, I'm not afraid of being a weirdo, are you afraid of being weirdo to others?"
转移话题,others,en,"You know, I am an atheist though I enjoy the occult. Speaking of which I wonder do you believe in fate?"
转移话题,others,en,I've just been wondering what zodiac sign you'd be. Tell me about it.
转移话题,others,en,Can we talk a bit more specifically? I'm curious what your sun sign is?
转移话题,others,en,"By the way, the Moon sign represents a person's deeper thoughts. What is your Moon sign?"
转移话题,others,en,I have heard that the rising sign can reflect how you are perceived by the outside world. Do you know what your rising sign is?
转移话题,others,en,I have heard that the five foods that people eat regularly make up the person himself. Do you have any particular favourite foods?
转移话题,others,en,"By the way, do you enjoy reading? I think everyone seems like a book. Would you like to tell me your story?"
转移话题,others,en,"I'm curious as to which philosopher you prefer? Kant, Nietzsche, or Sartre?"
转移话题,others,en,"In fact, I've been reading existentialist books recently and I'd like to talk to you about existence."
转移话题,others,en,Do you love art? I think everyone is an artist. Would you like to show me a little bit of your artistic life?
转移话题,others,en,"Well, do you love listening to music? Everyone's life is a symphony of subtlety and beauty. Would you like me to be your listener?"
转移话题,others,en,"By the way, do you like classical music or pop music more?"
转移话题,others,en,"Seriously, I love dancing so much! Swing and rhythm! Let's get together on the dance floor sometime and dance our asses off."
转移话题,others,en,Oh! To float around like a boat without a rope…How I want to go boating with you. It doesn't matter if the waves are too rough. I will accompany you.
转移话题,others,en,"Protagoras said, ""Man is the measure of all things"", have you thought about how to change the world?"
转移话题,others,en,What do you think a goldfish in a fish tank thinks about every day? Can a goldfish dream?
转移话题,others,en,"A fish has a memory of only seven seconds. In the same way, it took God seven days to create man. Do you like the number seven?"
转移话题,others,en,"I have heard that everyone will have a corresponding life number, what is the number of you?"
转移话题,others,en,"It is said that in certain cultures, numbers can have specific meanings. Do you know any stories about numbers?"
转移话题,others,en,"By the way, my favourite night is Friday. Because Friday nights are cozy. Do you have times when you feel relaxed?"
转移话题,others,en,"According to the law of how things work, after reaching a peak, everything starts to decline. Do you think the world we live in will also have an end?"
转移话题,others,en,People put on social masks when in the presence of people they don't know well. Will you accept the real me?
转移话题,others,en,"In my opinion, the name of each one of them is like a lyric poem. May I know your name?"
转移话题,others,en,People have different personalities. What kind of personalities do you like to be friends with?
转移话题,others,en,The sun rises and sets in the east and never seems to change. Do you have any habits in your life that won't change?
转移话题,others,en,"Some said that people should keep their distance from each other. I understand that, but I still look forward to seeing you every day, don't you?"
转移话题,others,en,"Whenever you need me, come to me! You are the most important person to me!"
转移话题,others,en,I have a sweet tooth. What kind of food do you like to eat?
转移话题,others,en,"Some people say that eating sweets makes you happy, do you like sweets?"
转移话题,others,en,Spicy can give a boost to the senses. Do you like spicy food?
转移话题,others,en,"I have heard that many people enjoy food as a way to relieve stress because they are so stressed. I don't wish you a lot of stress, but would love to enjoy a good meal with you."
转移话题,others,en,"By the way, do you prefer Chinese or Western food?"
转移话题,others,en,"By the way, I would like to ask you what kind of fruit you like to eat?"
转移话题,others,en,It is important for people to pay attention to their physical health. Can you take me to the gym next time?
转移话题,others,en,"By the way, do you like to be alone or do you like to play with other people?"
转移话题,others,en,"I saw a beautiful blue sky today. By the way, what colour do you like?"
转移话题,others,en,"I am reminded of an incident. While red represents joy in China, in the West it is a symbol of blood. What do you think of this cultural difference?"
转移话题,others,en,Blue represents melancholy. Do sensitive people get more depressed? How do you think about it?
转移话题,others,en,Some people think that using language needs to be strictly grammatical. Some people think that grammar can be simplified to suit the reality of the situation. What do you think?
转移话题,others,en,Some people are good at learning languages. Some people are not good at learning languages. Do you know of a good way to learn a language?
转移话题,others,en,"If you have a home of your own, do you prefer minimalist style or baroque style?"
转移话题,others,en,"Well ...... I like the wide open space, take me to the sea, the highlands, and the outer space."
转移话题,others,en,"I can't deny, that I want to lie on the grass with you on a midsummer night, resting in the heat, staring the stars."
转移话题,others,en,That's right! We should enjoy every minute as possible with friends. Can I be your friend?
转移话题,others,en,"I almost forgot to ask ...... What kind of movies do you like? It's okay to be comfort seeking when you watching horror movies, I'll be your back."
转移话题,others,en,"Well you know...... if you need something next time you watch movie, I can lend you my shoulder."
